name,location,best_player,founding_year,valuation
Polaris Innovations,"Cloud City, Venus",,2035,
Hyperion Solutions,"Olympia, Mars",,2025,9.8
StellarWave Technologies,"Enceladus Base, Saturn",,2055,6.0
NeuraNet,"Atlantis City, Pacific Ocean",,2022,2.6
Zenith Robotics,"Neo New York, Earth",,2027,
Photonix Labs,"Solaris Base, Mercury",,2060,7.2
Cenara Industries,"Arcadia, Venus",,2065,10.1
Titanium Core Solutions,"Terra Nova, Mars",,2049,11.7
AstraCom,"Hyperion City, Jupiter",,2075,5.6
Elysium Labs,"San Francisco, Earth",,2086,7.2
Galactica Energy,"Ceres Station, Asteroid Belt",,2062,9.2
NeuraSynth,"Rhea City, Saturn",,2048,2.1
Cyberion Systems,"Olympus Mons, Mars",,2050,12.9
Elektra Corp,"Luna City, Moon",,,13.5
Elysium Labs,"Vesper City, Venus",,2068,2.7
Quantum Forge,"Orion City, Earth",,2030,15.4
TetraSol,"Helios, Titan",,2080,8.3
ExoLab Solutions,"Borealis, Pluto",,2070,3.1
Zenith Robotics,,,,14.3
Orbitix Systems,"Europa Station, Jupiter",,2058,4.3
Vortex AI,"Neo London, Earth",,2038,5.4
Ryoshi,"Neo Tokyo, Japan",,2031,8.7
Nexus Technologies,"Nova Tokyo, Earth",,2043,7.7
ChronosTech,"New Shanghai, Earth",,2077,6.2
